Id;PageItemID;XCoordinate;YCoordinate
476;302;134,7642974854;146,5000762939
477;373;255,8532562256;145,6001892090
478;363;329,0256958008;145,1515960693
479;357;384,6031799316;144,6507568359
480;380;409,9295349121;144,8990173340
481;165;446,5312500000;145,5469055176
482;325;658,5533447266;143,4500274658
483;365;693,3513793945;143,4507751465
484;340;718,2042846680;143,1982269287
485;546;109,2039260864;461,4502868652
486;343;128,1779327393;461,4493408203
487;344;146,4012603760;460,9996948242
488;364;183,1279449463;460,7493286133
489;215;248,3024291992;459,9984741211
490;356;264,6043701172;459,9988403320
491;358;297,8256835938;459,3015747070
492;321;341,0532836914;459,5501708984
493;322;373,0758361816;459,0519104004
494;215;414,3524475098;458,7984619141
495;375;450,8258972168;458,3508911133
496;316;476,7543334961;458,3481750488
497;362;614,1539916992;457,5997619629
498;330;667,0794067383;456,4007568359
499;65;688,2055664063;456,6495971680
500;473;625,8709716797;65,9482955933
501;726;357,3182067871;70,9997940063
502;763;380,9580383301;71,2497253418
503;652;399,5160522461;73,7497253418
504;415;419,5310668945;72,5487976074
505;32;694,9425659180;82,5508880615
506;384;462,0960083008;94,3996353149
507;646;479,2344970703;115,2985000610
508;732;555,0094604492;143,9493103027
509;387;680,7949218750;163,8996124268
510;339;682,3937988281;187,2998199463
511;140;732,3949584961;211,5496063232
512;667;455,6577758789;240,8018951416
513;386;426,1449279785;253,9995880127
514;654;523,8078002930;266,6018676758
515;668;539,7078857422;267,5512084961
516;227;421,9931945801;270,9476013184
517;298;540,2660522461;279,6997375488
518;670;351,5344848633;321,7984619141
519;136;572,6449584961;352,0495910645
520;748;679,6442871094;351,6980285645
521;836;699,1959838867;356,4996032715
522;697;683,3709716797;386,1482543945
523;128;681,2449340820;398,2496032715
524;160;722,8442993164;416,5979919434
525;862;722,6449584961;444,4496154785
526;835;720,2578125000;454,0518798828
527;228;313,9895324707;507,3493652344
528;1123;372,9660644531;507,5497131348
529;536;399,8418273926;509,5011901855
530;67;429,6643371582;510,1020507813
531;509;467,6418151855;511,9012145996
532;850;501,7907409668;512,4997558594
533;846;548,7660522461;512,9497070313
534;988;289,8554687500;100,9985122681
535;803;513,1823120117;156,5496673584
536;808;270,0593566895;176,6008300781
537;494;494,8810424805;175,0502014160
538;686;334,9140014648;187,0500640869
539;607;331,5102233887;238,1517944336
540;163;319,1988525391;246,5010986328
541;809;341,5869140625;245,1504516602
542;686;358,6375427246;253,2998504639
543;567;399,4184570313;274,1986694336
544;831;295,5824279785;293,4999694824
545;853;302,3099060059;310,9020690918
546;854;368,3601989746;316,0517578125
547;641;306,5593566895;338,1508178711
548;687;363,6616821289;336,8016052246
549;916;681,0181274414;347,9981689453
