Id;PartNumber;MakersPartNumber;Description
633;71-3294;;Inlet valve guide
634;71-3295;;Exhaust valve guide
635;71-3296;;Bottom cup
636;71-3298;;CRANKSHAFT C/W. OIL TUBE
637;71-3313;;Connector (T140V)
638;71-3316;;Sump plate
639;71-3329;;Push rod cover tube
640;71-3330;;Push rod
641;71-3338;;Inlet manifold - R. H. (T140V)
642;71-3339;;Inlet manifold - L.H. (T140V)
643;71-3354;;Gudgeon pin
644;71-3447;;OIL PRESSURE RELEASE VALVE
645;71-3463;;Oil Filler cap
646;71-3542;;Motor sprocket, 29 teeth Triplex
647;71-3544;;Distance piece
648;71-3549;;Rocker spindle
649;71-3550;;Rocker oil pipe
650;71-3551;;Rocker feed pipe
651;71-3552;;Flywheel bolt (* Use 60-0524 Loctite Sealant)
652;71-3553;;Bridge plate
653;71-3556;;Inlet manifold (TR7RV)
654;71-3573;;Joint washer (Carb. to manifold & head) (T140V)
655;71-3577;;Connector pipe (T140V)
656;71-3666;;Camshaft pinion
657;71-3668;;Inlet rocker box
658;71-3671;;Tappet inspection cover
659;71-3673;;Gasket
661;71-3676;;PISTON COMPLETE (8.6 : 1)
662;71-3681;;Cylinder head gasket
663;71-3690;;Taper compression ring
664;71-3695;;Oil control ring
665;71-3700;;Circlip
666;71-3748;;Split cotter
667;71-3749;;Washer
668;71-3754;;Joint washer
669;71-3755;;Exhaust pipe - left
670;71-3758;;Exhaust pipe - right
671;71-3778;;PISTON COMPLETE (7.9 : 1)
672;71-3892;;Timing pointer
