Id;SectionId;PartId;PartNumber;PageNumber;StartPageNumber;Additional_Info;Quantity;Remarks
1136;8;1320;99-1038;29;28;;1;Each carburettor
1137;16;1321;99-1048;45;44;110 lbs. chrome;2;Girling 64543708
1138;7;1322;99-1124;27;26;;1;
1139;8;1322;99-1124;29;28;;1;Each carburettor
1140;7;1323;99-1152;27;26;;1;
1141;8;1323;99-1152;29;28;;1;Each carburettor
1142;7;1324;99-1153;27;26;;1;
1143;8;1324;99-1153;29;28;;1;Each carburettor
1144;32;1325;99-1161;83;82;amber;2;
1145;33;1327;99-1192;85;84;;1;
1146;33;1328;99-1193;85;84;;2;
1147;32;1329;99-1201;83;82;;1;
1148;32;1330;99-1204;83;82;flasher unit;1;
1149;33;1331;99-1207;85;84;amber;1;
1150;33;1332;99-1208;85;84;red;1;
1151;33;1333;99-1209;85;84;green;1;
1152;33;1334;99-1210;85;84;;3;
1153;33;1335;99-1213;85;84;;1;
1154;33;1336;99-1214;85;84;45/35W;1;UK-USA-Canada
1155;33;1337;99-1223;85;84;headlamp fixing;2;
1156;33;1338;99-1224;85;84;headlamp fixing;2;
1157;32;1339;99-1245;83;82;;1;
1158;33;1340;99-1246;85;84;flasher lamp front;2;
1159;33;1341;99-1249;85;84;;1;UK-USA-Canada
1160;33;1343;99-1251;85;84;;1;
1161;9;1344;99-1263;31;30;;1;Lucas 54425657
1162;9;1346;99-1264;31;30;;1;Lucas 54412229
1163;9;1348;99-1265;31;30;;1;Lucas 54425160
1164;9;1350;99-1266;31;30;;2;Lucas 60600271
1165;33;1352;99-1267;85;84;;1;UK-USA-Canada
1166;23;1354;99-12765;63;62;;2;
1167;21;1356;99-2753;57;56;;1;
1168;21;1357;99-2754;57;56;;1;
1169;21;1358;99-2755;57;56;;1;
1170;21;1359;99-2756;57;56;;1;
1171;21;1360;99-2757;57;56;;1;
1172;21;1361;99-2758;57;56;;1;
1173;21;1362;99-2759;57;56;;1;
1174;21;1363;99-2760;57;56;;1;
1175;21;1364;99-2761;57;56;;1;
1176;21;1365;99-2762;57;56;;1;
1177;21;1366;99-2763;57;56;;1;
1178;21;1367;99-2765;57;56;;2;
1179;23;1368;99-2766;63;62;;2;
1180;21;1368;99-2766;57;56;;2;
1181;23;1369;99-2767;63;62;;2;
1182;21;1369;99-2767;57;56;;2;
1183;21;1370;99-2770;57;56;;1;
1184;8;1380;R930;29;28;right;1;Amal
1185;28;128;16/328;75;74;top half;1;Amal
1186;28;130;16/329;75;74;bottom half;1;Amal
1187;28;122;16/008;75;74;;1;Amal
1188;28;124;16/009;75;74;;1;Amal
1189;28;126;16/010;75;74;;1;Amal
1190;28;1377;NoPart#2;75;74;;1;Amal
1191;28;10;12/556;75;74;;1;Amal
1192;28;14;12/607;75;74;;1;Amal
1193;28;12;12/606;75;74;;1;Amal
1194;28;8;12/033;75;74;;1;Amal
1195;8;693;622/172;29;28;Not illustrated;1;Amal
1196;7;1182;930/005;27;26;;1;Amal.
1197;8;1373;L930;29;28;left;1;Amal.
1198;7;1180;928/098;27;26;;1;Amal.
1199;8;1180;928/098;29;28;Each carburettor;1;Amal.
1200;7;693;622/172;27;26;;1;Amal.
1201;21;303;3761-270;57;56;;1;AP.LTD
1202;23;335;4741-570;63;62;Order kit Part No. 99-2769;2;AP.LTD
1203;21;264;3528-441;57;56;;1;AP.LTD
1204;23;1371;K19866TP;63;62;;2;AP.LTD
1205;23;258;28696;63;62;;1;AP.LTD
1206;23;260;3437-307;63;62;;2;AP.LTD
1207;21;335;4741-570;57;56;Order kit, Part No.99-2769;2;AP.LTD
1208;21;1371;K19866TP;57;56;Order kit, Part No.99-2769;2;AP.LTD
